,estimated_f2b,log_likelihood,trips_number,gradient,hessian_eigenvalues,asymptotic_confidence
126,0.0,-163.85423966592552,32.0,-30.995094617424606,-255.85289654903548,3.869736627920408e-06
127,0.1468728733062744,-298.03621199126735,53.0,8.399700832528723e-05,-435.44011333204213,4.3897602923979923e-07
128,0.238101110458374,-171.48291417010978,28.0,4.934569678916034e-05,-596.2446488094603,1.8144832047794044e-06
129,0.06084116935729981,-162.29486104476953,28.0,-1.0555009282375849e-05,-20.713687529045927,3.47344779202854e-07
130,0.0,-134.7678806505142,21.0,-10.814799608959452,97.3695869701708,5.845814646306722e-06
131,0.06042386054992676,-163.25227719496286,27.0,-9.205118853694572e-05,-28.7851774073273,4.1530706335261856e-07
132,0.055552110671997064,-104.0467557138595,18.0,-0.00025788102416290926,-30.999942327325822,3.4993267915032467e-07
133,0.09098748207092283,-96.7112782843831,17.0,-8.600579230821914e-05,-236.8425825698612,9.216204131936083e-07
134,0.0545456600189209,-257.20154409824414,44.0,-0.0002782769948175279,-299.6547498863766,-8.280088719423212e-08
135,0.06251229286193846,-141.1270436131073,21.0,-3.489918380644683e-05,-342.4757102426451,-1.9469235068859552e-07
136,0.05891890525817871,-137.37313930779325,24.0,-0.0002549632273611824,-67.11301213554836,3.161531680576348e-07
137,0.03997384071350097,-174.55759733326244,29.0,-0.000605395760642935,-128.08324066661262,-3.209049707743865e-07
138,0.03695637702941894,-191.20845839507257,33.0,0.0005119674926632456,-183.76427020532336,1.5717926892257884e-07
139,0.0,-177.305154422554,27.0,-10.766962164493705,-1161.3998701095475,2.4846594264070414e-06
140,0.0017268276214599608,-247.0433335430203,42.0,-0.0007355741286472206,-859.8781113674265,1.3107956906335323e-07
141,0.0,-159.27246520693987,23.0,-15.783642148250308,-763.2152427372331,-1.9490197587501024e-10
142,0.0,-150.6501911173155,23.0,-13.935182724556316,-20.41146811825411,8.114825739000303e-09
143,0.02979981422424316,-267.59234848893703,43.0,-0.0006207463789313916,-48.267205386550565,1.0329053422435142e-07
144,0.0,-191.62595802308297,35.0,-27.49251838051078,-756.4366318008878,3.310158112970671e-06
145,0.03686573982238769,-168.42059463651393,31.0,-5.49299996277508e-05,-36.240440068104064,1.585884938153374e-07
146,0.0,-77.78655527004143,15.0,-8.79892466884686,-9.009206812293876,1.331544660610071e-05
147,0.0,-187.56253055818468,37.0,-12.104848889890388,-302.6368456516148,3.963879960330149e-07
148,0.0,-113.96839326070214,22.0,-18.97234962402169,-18.997791118919608,6.314503171823447e-06
149,0.0,-85.25154339900116,16.0,-10.77362113811083,-11.043825729403329,1.0862323910508118e-05
150,0.05350710868835448,-135.40347989567402,24.0,-7.204650308555009e-05,-267.7628180183088,4.4801442221821607e-07
151,0.07542431831359864,-172.440654350455,31.0,-0.00022324638728510315,-364.84105048429683,3.2880517454708e-07
152,0.0,-102.30880743613689,17.0,-15.999305247919253,-15.998610641403893,7.498251872328552e-06
153,0.05716847419738769,-163.6493107880827,29.0,0.00017641708123702915,-354.36176050635896,3.385553372246217e-07
154,0.0,-134.15683489394272,22.0,-18.95785729053975,-272.77400610243353,6.3413893819837384e-06
155,0.100757417678833,-184.0198241052211,35.0,-0.00020261571333035633,-18.917164744027467,4.412952542083115e-07
156,0.0,-93.11434682147153,16.0,-1.4055679992015158,-8.314146475431425,4.005804064295551e-06
157,0.0,-84.11364643415911,15.0,-8.68317112336668,-30.67043112183715,1.4332610389561152e-05
158,0.0,-141.31193636789402,28.0,-25.69716105606346,-26.063009411585103,4.602753679079351e-06
159,0.0,-160.3847475824625,32.0,-23.822871718246407,-24.007622023160103,4.99681359567517e-06
160,0.18430603981018062,-151.8436079102638,28.0,-5.96812007414016e-06,-114.16752195311062,1.0512715349395385e-06
161,0.0,-116.46265459831241,19.0,-15.899708925911748,-15.726864194458445,7.627294347777137e-06
162,0.05426241874694824,-108.23130974309852,18.0,-0.00028276830578555234,-580.7921306201185,-3.7393894569829344e-07
163,0.10424317359924315,-134.5472646716351,23.0,0.00013616099467506082,-649.1690747610864,5.251605532482578e-07
164,0.06669671058654786,-104.13543301179443,16.0,-8.613502456356059e-05,79.20246916432382,1.375308998950571e-07
